Vessel Name,IMO Number,Source
DIONA,9569695,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
DUNE,9569712,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
URDANETA,7912111,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
GP-21,8767953,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BICENTENARIO XIV,9513270,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
GP-23,8767977,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BICENTENARIO XII,9513282,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
L-409,8772049,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BICENTENARIO XIII,9513294,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BICENTENARIO XVI,9513309,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
AMUAY,9432658,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BICENTENARIO XI,9513311,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BICENTENARIO II,9513323,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BICENTENARIO V,9542518,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BICENTENARIO IV,9556947,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BICENTENARIO VI,9557549,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BICENTENARIO IX,9557915,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PDVSA CARDON,9432660,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
CUMANAGOTO,9540883,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
CARIBE,9540895,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
JAZMIN,9662643,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SABANETA,9667813,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
MANAURE,9670987,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
MARA,9670999,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
MARGARITA 1,9671668,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
YORACO,9688790,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
CAYAURIMA,9688805,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TRIBILIN,9693240,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
AMAPOLA 1,9717357,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
GARDENIA,9739898,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BICENTENARIO X,9564126,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BICENTENARIO VIII,9564695,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
DESPINA ANDRIANNA,9182667,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BICENTENARIO I,9584762,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BICENTENARIO XV,9513268,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BICENTENARIO III,9585819,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BICENTENARIO VII,9588990,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
S-TROTTER,9216547,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ESPERANZA,9289166,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SHANG YUAN BAO,8126070,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
YAZ,9735323,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SIG,9735335,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SUDAK,8943155,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PASSAT,8523242,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
OT-2077,9025778,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SARAK,9226968,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SOBAR,9221970,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SOLAN,9155808,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TOUR 2,9364112,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BONITA QUEEN,9105906,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ADRIAN DARYA 1,9116412,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
JASMINE,9105085,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ASIA BRIDGE,9010022,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
GIRALT,9259692,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
CARLOTA C,9502453,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SANDINO,9441178,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PETION,9295098,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LUCKY STAR,9015278,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
CALM BRIDGE,8318867,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ICARO,9038842,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LUISA CACERES DE ARISMENDI,9117478,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
MANUELA SAENZ,9117492,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PARAMACONI,9543512,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TEREPAIMA,9552496,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
YARE,9543500,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
GENAVA 12,9776523,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
GENAVA 11,9804617,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
MARAYA,7514517,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
HONG XUN,9588885,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
STAR 18,9020015,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BALITA,9176773,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LIA,9041057,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
MIA,9018464,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
MAKSIM GORKY,9590008,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SIERRA,9147447,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONGBOW LAKE,9237539,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
WU XIAN,9102239,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BOSCO GILAN,9188752,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FIONA,8674156,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BALIAR,9192258,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
HERMES,9338230,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ANTEY,9310018,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
AKADEMIK CHERSKIY,8770261,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BALTIYSKIY ISSLEDOVATEL,9572020,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
UMKA,9171620,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
ARTEMIS OFFSHORE,9747194,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FINVAL,9272412,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
NARVAL,9171876,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SIVUCH,9157820,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
KAPITAN BEKLEMISHEV,8724080,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SPASATEL KAREV,9497531,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BAKHTEMIR,9797577,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
MURMAN,9682423,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TRIPLE SUCCESS,9167148,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
OSTAP SHEREMETA,9624225,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
IVAN SIDORENKO,9624213,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7876,8537097,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7877,8537102,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7861,9828663,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7862,9828675,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7864,9828687,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7863,9828699,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7882,9828754,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7883,9828766,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7886,9842293,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7887,9842308,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 005,7815246,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 008,8403698,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU F91,8414295,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8672,9869291,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8673,9869473,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8674,9869485,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 557,8820509,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8675,9869497,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
MIN FUZHOU YU F009,8994013,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8676,9870123,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 559,9016571,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 558,9031947,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU F30,9096507,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8677,9870238,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
HONG FENG 1 HAO,9756573,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8678,9870240,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7865,9828704,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7866,9828716,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7884,9842279,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7885,9842281,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8660,9870111,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8661,9870587,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7894,9871232,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8662,9870599,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7888,9872561,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7889,9872573,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7895,9871244,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7900,9888273,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7901,9888285,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7896,9872224,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7902,9888297,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU YUN 993,9897066,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8696,9916654,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7897,9872262,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8695,9916692,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8697,9916707,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8698,9916721,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU YUN 991,9920954,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8636,9933717,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7898,9872274,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8637,9933729,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8638,9933731,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7899,9872286,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8635,9934503,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7868,9872585,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8639,9934515,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8640,9934527,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8641,9934539,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8642,9934541,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7869,9872602,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8643,9934553,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7872,9874064,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8644,9934565,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7870,9874131,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8645,9934577,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7871,9874155,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8646,9934589,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7873,9874167,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7890,9878761,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8647,9940497,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7891,9878773,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7893,9878785,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7892,9879686,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7874,9879715,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8648,9940538,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7875,9879727,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8649,9940540,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU YUN 995,9887152,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8650,9940552,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8651,9940576,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8652,9940590,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8653,9940617,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8654,9940629,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU YUN 997,9887853,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7601,9891476,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7602,9891488,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7603,9891490,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7604,9891505,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 601,8828329,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 602,8011055,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 603,7416349,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 605,8682490,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 606,8682505,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 607,8682517,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 608,8682529,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 609,9004449,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 610,8713421,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 611,9037678,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 612,9038294,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 621,8909769,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 622,8915158,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 623,8910976,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 625,9036777,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 626,9031935,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 627,9016258,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 628,9016246,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 629,8687268,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 630,8687270,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 635,8648145,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7605,9891608,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 636,8648157,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7606,9891610,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 637,8648169,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 638,8648171,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 801,8529442,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8679,9892365,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LONG XING 802,8529428,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TIAN XIANG 7,8407802,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TIAN XIANG 8,8430562,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TIAN XIANG 16,8947553,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8680,9892377,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TIAN XIANG 18,8603690,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8681,9893137,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TIAN YU 7,8651283,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TIAN YU 8,8651295,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8682,9893149,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8686,9894399,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8684,9894492,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8685,9894507,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8687,9894519,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7611,9896294,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7612,9896309,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7613,9896323,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7614,9896335,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7615,9896347,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7616,9896361,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7617,9896373,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7618,9896397,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7630,9914785,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7629,9914761,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7619,9896402,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7628,9914759,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8688,9899052,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7627,9914747,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8689,9899064,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7626,9914735,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8690,9899076,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7625,9914723,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7624,9914606,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8691,9899088,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7622,9914591,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7621,9914589,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 7620,9914577,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8692,9899105,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU 8693,9899117,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FU YUAN YU YUN 992,9910909,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LAMANTIN,9396854,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BALTIC LEADER,9220639,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LINDA,9256858,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PEGAS,9256860,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FESCO MONERON,9277412,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
FESCO MAGADAN,9287699,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LIGHT MOON,9109550,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
DILBAR,9661792,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
TANGO,1010703,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LENA,9594339,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
CLIPPER,9102198,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SEA RHAPSODY,1010648,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LADY LEILA,9683740,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LADY RANIA,9784893,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
LADY SEVDA,9683738,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SV KONSTANTIN,9203710,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SV NIKOLAY,9482926,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SPARTA II,9160994,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
AMBAL,8807416,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
MARIA E,9617923,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
PIZHMA,8814354,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SPARTA,9268710,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SPARTA III,9538892,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
SPARTA IV,9743033,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
BELOMORSKIY,8305781,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
CHIZHOVKA,8730455,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
DVINSKIY ZALIV,8922486,User Uploaded: Sanctions_Report_View_All_Data_Combined_250731_054754.csv
